ticker,description
1810.HK,Xiaomi-W
0700.HK,Tencent
3750.HK,Catl
1211.HK,Byd Company
9988.HK,Baba-W
0388.HK,Hkex
3690.HK,Meituan-W
1357.HK,Meitu
9992.HK,Pop Mart
0939.HK,Ccb
1530.HK,3Sbio
1299.HK,Aia
0883.HK,Cnooc
2899.HK,Zijin Mining
0981.HK,Smic
2015.HK,Li Auto-W
1093.HK,Cspc Pharma
0175.HK,Geely Auto
2020.HK,Anta Sports
0005.HK,Hsbc Holdings
9868.HK,Xpeng-W
9961.HK,Trip.Com-S
6181.HK,Laopu Gold
3988.HK,Bank Of China
0941.HK,China Mobile
9926.HK,Akeso
2318.HK,Ping An
0857.HK,Petrochina
9618.HK,Jd-Sw
1398.HK,Icbc
9888.HK,Bidu-Sw
9626.HK,Bilibili-W
2269.HK,Wuxi Bio
1024.HK,Kuaishou-W
1088.HK,China Shenhua
9999.HK,Ntes-S
1801.HK,Innovent Bio
1060.HK,Ali Pictures
9863.HK,Leapmotor
6693.HK,Chifeng Gold
2057.HK,Zto Express-W
3968.HK,Cm Bank
6160.HK,Beigene
9880.HK,Ubtech Robotics
9660.HK,Horizonrobot-W
1288.HK,Abc
0291.HK,China Res Beer
2628.HK,China Life
2228.HK,Xtalpi
0762.HK,China Unicom
0386.HK,Sinopec Corp
0992.HK,Lenovo Group
1919.HK,Cosco Ship Hold
2367.HK,Giant Biogene
1347.HK,Hua Hong Semi
1109.HK,China Res Land
0285.HK,Byd Electronic
6969.HK,Smoore Intl
9698.HK,Gds-Sw
0669.HK,Techtronic Ind
0241.HK,Ali Health
2382.HK,Sunny Optical
0268.HK,Kingdee Int'L
2465.HK,Lopal Tech
1378.HK,Chinahongqiao
0300.HK,Midea Group
1385.HK,Shanghai Fudan
1818.HK,Zhaojin Mining
2498.HK,Robosense
1548.HK,Genscript Bio
1318.HK,Mao Geping
1177.HK,Sino Biopharm
2423.HK,Beke-W
0267.HK,Citic
1171.HK,Yankuang Energy
2388.HK,Boc Hong Kong
9995.HK,Remegen
2328.HK,Picc P&C
6690.HK,Haier Smarthome
2096.HK,Simcere Pharma
3692.HK,Hansoh Pharma
2359.HK,Wuxi Apptec
6618.HK,Jd Health
9896.HK,Mnso
3896.HK,Kingsoft Cloud
